measure,beat,timestamp
1,1,1.12
1,2,2.284
1,3,3.004
1,4,3.776
2,1,4.484
2,2,5.224
2,3,5.877375
2,4,6.544
3,1,7.265979167
3,2,7.964
3,3,8.694770833
3,4,9.332
4,1,10.107125
4,2,10.952
4,3,11.588
4,4,12.252
5,1,12.896
5,2,13.636
5,3,14.264
5,4,15.072
6,1,15.992
6,2,16.86977083
6,3,17.58
6,4,18.364
7,1,19.135375
7,2,19.756
7,3,20.432
7,4,21.13064583
8,1,21.80975
8,2,22.552
8,3,23.21022917
8,4,23.896
9,1,24.52
9,2,25.24
9,3,25.94
9,4,26.88
10,1,27.768
10,2,28.672
10,3,29.36
10,4,30.008
11,1,30.692
11,2,31.36
11,3,31.988
11,4,32.687875
12,1,33.45554167
12,2,34.23241667
12,3,34.89441667
12,4,35.688
13,1,36.4315625
13,2,37.092
13,3,37.792
13,4,38.476
14,1,39.088
14,2,39.872
14,3,40.492
14,4,41.128
15,1,41.696
15,2,42.36
15,3,43.012
15,4,43.824
16,1,44.59185417
16,2,45.348
16,3,46.02922917
16,4,46.692
17,1,47.396
17,2,48.124
17,3,48.936
17,4,49.89072917
18,1,50.696
18,2,51.67854167
18,3,52.432
18,4,53.216
19,1,54.2081875
19,2,55.11733333
19,3,55.856
19,4,56.588
20,1,57.284
20,2,58
20,3,58.732
20,4,59.579
21,1,60.60991667
21,2,61.45864583
21,3,62.324
21,4,63.05283333
22,1,63.864
22,2,64.619375
22,3,65.324
22,4,66.06
23,1,66.86
23,2,67.612
23,3,68.32
23,4,68.936
24,1,69.63872917
24,2,70.324
24,3,70.996
24,4,71.69989583
25,1,72.46
25,2,73.148
25,3,73.856
25,4,74.512
26,1,75.232
26,2,76.088
26,3,76.672
26,4,77.284
27,1,78.008
27,2,78.82233333
27,3,79.42
27,4,80.124
28,1,81.216
28,2,81.992
28,3,82.592
28,4,83.4
29,1,84.650625
29,2,85.348
29,3,85.948
29,4,86.84764583
30,1,87.64577083
30,2,88.284
30,3,88.852
30,4,89.568
31,1,90.508
31,2,91.32
31,3,91.996
31,4,92.692
32,1,93.4
32,2,94.244
32,3,94.888
32,4,95.63616667
33,1,96.37445833
33,2,97.29208333
33,3,98.078375
33,4,98.72
34,1,99.5419375
34,2,100.244
34,3,100.9815
34,4,101.588
35,1,102.352
35,2,103.024
35,3,103.936
35,4,104.8144167
36,1,105.524
36,2,106.616
36,3,107.264
36,4,108.012
37,1,109.0201042
37,2,109.9765417
37,3,110.691
37,4,111.492
38,1,112.192
38,2,112.9275833
38,3,113.5990625
38,4,114.32
39,1,115.048
39,2,115.7
39,3,116.4
39,4,117.2725833
40,1,118.024
40,2,118.792375
40,3,119.5258958
40,4,120.22325
41,1,120.768
41,2,121.689375
41,3,122.3814583
41,4,123.1142917
42,1,124.1
42,2,124.9494375
42,3,125.6445833
42,4,126.3858333
43,1,127.08
43,2,127.784
43,3,128.432
43,4,129.1
44,1,129.817375
44,2,130.364
44,3,131.0941042
44,4,131.8193125
45,1,132.356
45,2,132.988
45,3,133.74
45,4,134.6020833
46,1,135.7
46,2,136.5134167
46,3,137.232
46,4,137.868
47,1,138.552
47,2,139.2402083
47,3,139.9279375
47,4,140.6135
48,1,141.2487292
48,2,141.9830833
48,3,142.661125
48,4,143.4656667
49,1,144.096
49,2,144.8626458
49,3,145.4315417
49,4,146.048
50,1,146.72
50,2,147.36
50,3,147.984
50,4,148.588
51,1,149.26
51,2,149.916
51,3,150.496
51,4,151.236
52,1,152.02
52,2,152.807375
52,3,153.524
52,4,154.2283125
53,1,154.92
53,2,155.6344167
53,3,156.4702292
53,4,157.52
54,1,158.256
54,2,159.1767708
54,3,159.764
54,4,160.4758333
55,1,161.5266042
55,2,162.3601875
55,3,163.308
55,4,164.16
56,1,164.9565208
56,2,165.6828333
56,3,166.4942708
56,4,167.2957083
57,1,168.42
57,2,169.192
57,3,170.192
57,4,171.1601667
58,1,172.028
58,2,172.824
58,3,173.68
58,4,174.548
59,1,175.444
59,2,176.104
59,3,176.876
59,4,177.7322708
60,1,178.437875
60,2,179.3159792
60,3,180.045375
60,4,180.852
61,1,181.948
61,2,183.1239375
61,3,184.308
61,4,184.988
62,1,185.932
62,2,187.04
62,3,187.772
62,4,188.6592708
63,1,189.6827708
63,2,190.8326667
63,3,191.996
63,4,193.0574375
64,1,193.728
64,2,194.66
64,3,195.36
64,4,195.996
65,1,197.2324792
65,2,198.384
65,3,199.232
65,4,200.176
66,1,201.0890208
66,2,202.032
66,3,202.8899167
66,4,203.868
67,1,204.8892292
67,2,205.968
67,3,206.828
67,4,207.852
68,1,209.1757292
68,2,210.496
68,3,211.108
68,4,212.689125
69,1,213.808